name	type	units
Fp1	EEG	microV
AFz	EEG	microV
AF3	EEG	microV
AF7	EEG	microV
F3	EEG	microV
F5	EEG	microV
F7	EEG	microV
FC1	EEG	microV
FC3	EEG	microV
FC5	EEG	microV
FT7	EEG	microV
FT9	EEG	microV
Cz	EEG	microV
C3	EEG	microV
C5	EEG	microV
T7	EEG	microV
CP1	EEG	microV
CP3	EEG	microV
CP5Â 	EEG	microV
TP7	EEG	microV
TP9	EEG	microV
PzV	EEG	microV
P3	EEG	microV
P5	EEG	microV
P7	EEG	microV
P9	EEG	microV
PO3	EEG	microV
PO7	EEG	microV
PO9	EEG	microV
Oz	EEG	microV
O1	EEG	microV
O9	EEG	microV
Fpz	EEG	microV
Fp2	EEG	microV
AF4	EEG	microV
AF8	EEG	microV
Fz	EEG	microV
F4	EEG	microV
F6	EEG	microV
F8	EEG	microV
FC2	EEG	microV
FC4	EEG	microV
FC6	EEG	microV
FT8	EEG	microV
FT10	EEG	microV
C4	EEG	microV
C6	EEG	microV
T8	EEG	microV
CPz	EEG	microV
CP2	EEG	microV
CP4	EEG	microV
CP6	EEG	microV
TP8	EEG	microV
TP10	EEG	microV
P4	EEG	microV
P6	EEG	microV
P8	EEG	microV
P10	EEG	microV
POz	EEG	microV
PO4	EEG	microV
PO8	EEG	microV
PO10	EEG	microV
O2	EEG	microV
O10	EEG	microV
ECG1	ECG	microV
ECG2	ECG	microV
EMG	EMG	microV
EOGh	EOG	microV
EOGv	EOG	microV